Season,Date,ConstructorName,Points
2010,2010-06-01,McLaren,76.0
2010,2010-07-01,McLaren,52.0
2010,2010-08-01,McLaren,29.0
2010,2010-09-01,McLaren,30.0
2010,2010-10-01,McLaren,40.0
2010,2010-11-01,McLaren,55.0
2011,2011-03-01,McLaren,26.0
2011,2011-04-01,McLaren,59.0
2011,2011-05-01,McLaren,76.0
2011,2011-06-01,McLaren,45.0
2011,2011-07-01,McLaren,74.0
2011,2011-08-01,McLaren,15.0
2011,2011-09-01,McLaren,58.0
2011,2011-10-01,McLaren,89.0
2011,2011-11-01,McLaren,55.0
2012,2012-03-01,McLaren,55.0
2012,2012-04-01,McLaren,37.0
2012,2012-05-01,McLaren,16.0
2012,2012-06-01,McLaren,29.0
2012,2012-07-01,McLaren,56.0
2012,2012-09-01,McLaren,68.0
2012,2012-10-01,McLaren,45.0
2012,2012-11-01,McLaren,72.0
2013,2013-03-01,McLaren,4.0
2013,2013-04-01,McLaren,19.0
2013,2013-05-01,McLaren,14.0
2013,2013-06-01,McLaren,0.0
2013,2013-07-01,McLaren,20.0
2013,2013-08-01,McLaren,8.0
2013,2013-09-01,McLaren,11.0
2013,2013-10-01,McLaren,17.0
2013,2013-11-01,McLaren,29.0
2014,2014-03-01,McLaren,43.0
2014,2014-04-01,McLaren,0.0
2014,2014-05-01,McLaren,9.0
2014,2014-06-01,McLaren,20.0
2014,2014-07-01,McLaren,25.0
2014,2014-08-01,McLaren,8.0
2014,2014-09-01,McLaren,6.0
2014,2014-10-01,McLaren,32.0
2014,2014-11-01,McLaren,38.0
2015,2015-03-01,McLaren,0.0
2015,2015-04-01,McLaren,0.0
2015,2015-05-01,McLaren,4.0
2015,2015-06-01,McLaren,0.0
2015,2015-07-01,McLaren,13.0
2015,2015-08-01,McLaren,0.0
2015,2015-09-01,McLaren,0.0
2015,2015-10-01,McLaren,10.0
2015,2015-11-01,McLaren,0.0
2016,2016-03-01,McLaren,0.0
2016,2016-04-01,McLaren,1.0
2016,2016-05-01,McLaren,23.0
2016,2016-06-01,McLaren,0.0
2016,2016-07-01,McLaren,18.0
2016,2016-08-01,McLaren,6.0
2016,2016-09-01,McLaren,6.0
2016,2016-10-01,McLaren,20.0
2016,2016-11-01,McLaren,2.0
2017,2017-03-01,McLaren,0.0
2017,2017-04-01,McLaren,0.0
2017,2017-05-01,McLaren,0.0
2017,2017-06-01,McLaren,2.0
2017,2017-07-01,McLaren,9.0
2017,2017-08-01,McLaren,0.0
2017,2017-09-01,McLaren,6.0
2017,2017-10-01,McLaren,7.0
2017,2017-11-01,McLaren,6.0
2018,2018-03-01,McLaren,12.0
2018,2018-04-01,McLaren,24.0
2018,2018-05-01,McLaren,4.0
2018,2018-06-01,McLaren,0.0
2018,2018-07-01,McLaren,12.0
2018,2018-08-01,McLaren,0.0
2018,2018-09-01,McLaren,6.0
2018,2018-10-01,McLaren,4.0
2018,2018-11-01,McLaren,0.0
2019,2019-03-01,McLaren,8.0
2019,2019-04-01,McLaren,10.0
2019,2019-05-01,McLaren,12.0
2019,2019-06-01,McLaren,22.0
2019,2019-07-01,McLaren,18.0
2019,2019-08-01,McLaren,12.0
2019,2019-09-01,McLaren,19.0
2019,2019-10-01,McLaren,10.0
2019,2019-11-01,McLaren,29.0
2019,2019-12-01,McLaren,5.0
2020,2020-07-01,McLaren,41.0
2020,2020-08-01,McLaren,27.0
2020,2020-09-01,McLaren,38.0
2020,2020-10-01,McLaren,18.0
2020,2020-11-01,McLaren,47.0
2020,2020-12-01,McLaren,31.0
2021,2021-03-01,McLaren,18.0
2021,2021-04-01,McLaren,23.0
2021,2021-05-01,McLaren,39.0
2021,2021-06-01,McLaren,40.0
2021,2021-07-01,McLaren,43.0
2021,2021-08-01,McLaren,6.0
2021,2021-09-01,McLaren,65.0
2021,2021-10-01,McLaren,20.0
2021,2021-11-01,McLaren,4.0
2021,2021-12-01,McLaren,17.0
2022,2022-03-01,McLaren,6.0
2022,2022-04-01,McLaren,40.0
2022,2022-05-01,McLaren,13.0
2022,2022-06-01,McLaren,6.0
2022,2022-07-01,McLaren,30.0
2022,2022-08-01,McLaren,0.0
2022,2022-09-01,McLaren,12.0
2022,2022-10-01,McLaren,39.0
2022,2022-11-01,McLaren,13.0
2023,2023-03-01,McLaren,0.0
2023,2023-04-01,McLaren,14.0
2023,2023-05-01,McLaren,3.0
2023,2023-06-01,McLaren,0.0
2023,2023-07-01,McLaren,86.0
2023,2023-08-01,McLaren,8.0
2023,2023-09-01,McLaren,61.0
2023,2023-10-01,McLaren,84.0
2023,2023-11-01,McLaren,46.0
2024,2024-03-01,McLaren,55.0
2024,2024-04-01,McLaren,41.0
2024,2024-05-01,McLaren,88.0
2024,2024-06-01,McLaren,84.0
2024,2024-07-01,McLaren,98.0
2024,2024-08-01,McLaren,38.0
2024,2024-09-01,McLaren,112.0
2024,2024-10-01,McLaren,50.0
2024,2024-11-01,McLaren,42.0
2024,2024-12-01,McLaren,58.0
2025,2025-03-01,McLaren,70.0
2025,2025-04-01,McLaren,110.0
2025,2025-05-01,McLaren,116.0
2025,2025-06-01,McLaren,98.0
2025,2025-07-01,McLaren,86.0
2025,2025-08-01,McLaren,68.0
2002,2002-03-01,BMW Sauber,0.0
2006,2006-03-01,BMW Sauber,2.0
2006,2006-04-01,BMW Sauber,8.0
2006,2006-05-01,BMW Sauber,4.0
2006,2006-06-01,BMW Sauber,5.0
2006,2006-07-01,BMW Sauber,1.0
2006,2006-08-01,BMW Sauber,6.0
2006,2006-09-01,BMW Sauber,7.0
2006,2006-10-01,BMW Sauber,3.0
2007,2007-03-01,BMW Sauber,5.0
2007,2007-04-01,BMW Sauber,13.0
2007,2007-05-01,BMW Sauber,12.0
2007,2007-06-01,BMW Sauber,9.0
2007,2007-07-01,BMW Sauber,22.0
